x,y,centroidIndex
0.005000,68.998001,204
0.039000,372.838013,1
0.039000,400.437012,2
0.042000,322.871002,127
0.046000,136.509995,15
0.094000,10.496000,5
0.097000,21.316999,6
0.116000,209.658005,147
0.124000,394.451996,59
0.139000,106.969002,9
0.141000,182.716003,19
0.143000,362.675995,11
0.154000,28.181999,105
0.164000,335.722992,13
0.173000,307.877014,14
0.175000,137.184006,15
0.188000,113.560997,168
0.189000,162.606003,17
0.193000,338.734985,22
0.207000,182.033005,19
0.208000,369.609009,20
0.211000,267.173004,164
0.243000,340.527008,22
0.245000,274.402008,71
0.259000,232.313004,119
0.281000,71.385002,140
0.289000,130.529999,4
0.293000,363.436005,11
0.297000,429.490997,85
0.305000,115.720001,168
0.316000,18.671000,6
0.324000,25.552999,105
0.340000,47.103001,79
0.354000,351.757996,166
0.362000,221.229004,68
0.370000,450.177002,35
0.373000,249.684998,443
0.373000,409.166992,37
0.373000,434.300995,85
0.378000,295.002991,39
0.389000,424.809998,107
0.411000,289.238007,41
0.441000,286.442993,41
0.454000,15.807000,6
0.457000,226.996994,67
0.457000,288.779999,41
0.462000,238.850006,46
0.471000,155.654007,47
0.478000,181.335007,19
0.482000,314.325989,118
0.487000,375.605988,50
0.490000,300.756989,51
0.505000,149.061005,278
0.507000,247.776993,241
0.524000,186.115997,19
0.534000,115.377998,168
0.534000,179.746002,19
0.535000,427.334015,28
0.545000,333.480988,13
0.549000,395.916992,59
0.570000,389.604004,60
0.575000,172.238998,81
0.581000,287.610992,41
0.582000,252.401001,443
0.586000,295.682007,39
0.592000,87.875999,158
0.596000,174.199997,81
0.608000,233.811996,119
0.622000,218.397995,68
0.623000,242.126999,241
0.628000,331.644989,58
0.631000,278.256989,71
0.632000,37.448002,72
0.636000,124.075996,94
0.640000,262.940002,283
0.646000,434.556000,85
0.648000,151.029007,47
0.667000,395.032013,59
0.670000,98.328003,78
0.690000,48.688999,79
0.707000,356.757996,80
0.713000,169.789993,81
0.717000,126.891998,4
0.724000,24.844000,105
0.729000,249.473999,443
0.734000,431.781006,85
0.738000,189.332993,86
0.750000,7.747000,5
0.751000,130.050995,4
0.756000,1.142000,89
0.769000,422.657990,107
0.773000,206.751007,97
0.780000,44.715000,332
0.788000,347.411987,123
0.795000,129.300003,4
0.805000,86.414001,158
0.806000,327.028015,58
0.813000,201.479004,97
0.814000,259.234985,283
0.818000,194.199997,86
0.818000,404.309998,100
0.820000,308.700989,14
0.822000,420.897003,107
0.827000,206.261993,97
0.838000,410.782990,37
0.869000,26.313000,105
0.870000,214.089996,147
0.873000,420.557007,107
0.875000,102.594002,108
0.891000,370.802002,1
0.906000,416.466003,128
0.907000,428.290985,28
0.914000,224.028000,68
0.917000,106.569000,9
0.936000,190.500000,86
0.942000,287.994995,41
0.969000,19.896000,6
0.970000,238.539993,46
0.976000,316.093994,118
0.977000,235.235001,119
0.984000,23.039000,105
0.994000,204.401993,97
1.007000,162.873993,17
1.030000,346.024994,123
1.035000,10.689000,5
1.044000,371.911987,1
1.045000,52.924999,79
1.051000,325.899994,58
1.081000,411.705994,37
1.089000,62.474998,204
1.090000,24.721001,105
1.096000,203.755997,97
1.097000,410.795013,37
1.098000,354.871002,166
1.118000,388.665009,60
1.127000,169.126999,81
1.149000,391.394989,136
1.150000,153.421997,47
1.159000,42.221001,332
1.159000,73.514999,140
1.165000,77.000999,140
1.188000,296.989990,39
1.204000,233.835999,119
1.209000,397.632996,143
1.217000,31.082001,12
1.219000,77.926003,140
1.219000,357.423004,80
1.220000,212.912003,147
1.236000,86.056000,158
1.242000,146.384003,278
1.250000,36.847000,72
1.262000,283.131989,41
1.268000,88.851997,158
1.275000,192.207993,86
1.278000,109.078003,9
1.285000,96.430000,78
1.287000,319.925995,127
1.305000,9.798000,5
1.305000,91.737999,158
1.318000,178.199997,19
1.325000,49.178001,79
1.348000,198.759995,97
1.352000,201.552002,97
1.356000,408.096985,37
1.360000,271.802002,164
1.363000,183.679993,19
1.374000,356.592010,80
1.380000,300.338013,51
1.409000,107.130997,9
1.414000,170.834000,81
1.414000,437.221985,38
1.427000,19.518999,6
1.431000,193.035995,86
1.448000,398.730988,173
1.454000,188.001999,86
1.456000,444.246002,175
1.458000,250.968002,443
1.458000,279.188995,71
1.464000,305.398987,14
1.470000,291.725006,39
1.476000,376.410004,50
1.486000,54.203999,79
1.522000,384.524994,249
1.526000,302.737000,51
1.534000,132.580002,4
1.546000,136.610001,15
1.565000,24.384001,105
1.584000,372.230988,1
1.588000,90.713997,158
1.593000,58.554001,160
1.600000,414.253998,128
1.621000,89.524002,158
1.622000,418.899994,107
1.638000,166.942001,81
1.644000,219.901001,68
1.684000,393.049011,8
1.690000,368.541992,20
1.692000,308.484009,14
1.693000,370.063995,20
1.708000,451.217987,35
1.717000,303.713989,51
1.718000,26.427999,105
1.718000,80.781998,65
1.724000,270.697998,164
1.726000,65.556000,204
1.727000,102.242996,108
1.727000,110.176003,9
1.737000,106.142998,9
1.737000,187.923004,86
1.762000,364.971008,11
1.769000,276.816010,71
1.771000,222.518997,68
1.776000,391.669006,136
1.781000,249.716995,443
1.799000,290.622986,41
1.820000,112.966003,168
1.830000,196.731995,86
1.835000,383.497986,249
1.840000,391.119995,136
1.843000,147.891006,278
1.845000,10.976000,5
1.845000,394.885986,8
1.854000,324.391998,127
1.865000,449.678009,35
1.866000,439.381012,38
1.870000,74.459999,140
1.879000,449.557007,35
1.886000,37.682999,72
1.887000,275.303009,71
1.904000,269.394012,164
1.920000,406.501007,100
1.936000,339.285004,22
1.941000,366.122009,11
1.954000,204.612000,97
1.958000,6.296000,5
1.974000,356.186005,80
1.983000,415.665985,128
1.992000,322.157990,127
1.993000,138.811005,15
2.006000,64.920998,204
2.006000,151.567001,47
2.009000,246.016998,241
2.027000,54.779999,79
2.044000,294.979004,39
2.048000,356.739990,80
2.052000,124.473000,94
2.052000,398.467987,173
2.057000,220.529999,68
2.078000,138.488007,15
2.081000,385.061005,249
2.088000,449.414001,35
2.096000,80.371002,65
2.099000,235.406998,119
2.101000,180.459000,19
2.110000,393.984985,8
2.113000,203.067993,97
2.113000,368.819000,20
2.116000,374.615997,50
2.139000,305.528015,14
2.155000,244.975998,241
2.169000,224.617996,68
2.188000,146.100006,278
2.212000,369.829010,20
2.219000,430.779999,85
2.228000,119.060997,168
2.241000,401.515991,246
2.254000,82.935997,65
2.267000,308.145996,14
2.276000,333.821014,13
2.286000,363.253998,11
2.290000,233.306000,119
2.290000,281.970001,71
2.293000,154.423996,47
2.304000,269.091003,164
2.327000,105.459999,9
2.328000,144.050003,278
2.340000,325.717987,58
2.353000,347.497986,123
2.377000,145.809006,278
2.389000,84.411003,65
2.393000,128.139999,4
2.396000,438.052002,38
2.403000,359.851990,80
2.416000,257.339996,283
2.428000,49.761002,79
2.434000,339.694000,22
2.436000,454.006012,286
2.478000,402.476990,246
2.505000,350.713989,166
2.517000,392.509003,136
2.520000,3.593000,89
2.520000,347.744995,123
2.530000,352.584015,166
2.531000,146.410004,278
2.543000,100.320000,205
2.544000,132.720993,4
2.544000,421.191010,107
2.556000,356.352997,80
2.573000,398.576996,173
2.579000,160.417007,17
2.583000,155.582001,47
2.593000,396.850006,143
2.595000,356.571991,80
2.613000,328.295990,58
2.614000,432.619995,85
2.618000,406.833008,100
2.622000,428.748993,28
2.630000,62.265999,204
2.638000,279.625000,71
2.647000,335.002991,13
2.658000,400.407990,246
2.662000,166.942001,81
2.672000,18.358000,6
2.684000,68.806000,204
2.695000,410.968994,37
2.700000,433.027008,85
2.704000,185.975006,19
2.706000,448.825012,35
2.709000,40.521000,332
2.710000,71.889000,140
2.715000,89.935997,158
2.720000,111.578003,168
2.723000,10.107000,5
2.729000,372.125000,1
2.737000,409.414001,37
2.739000,294.468994,39
2.752000,418.743011,107
2.756000,107.087997,9
2.766000,147.992996,278
2.768000,20.360001,6
2.772000,88.863998,158
2.775000,379.610992,50
2.780000,42.646999,332
2.781000,12.985000,30
2.781000,229.016006,67
2.791000,203.878998,97
2.796000,321.256989,127
2.808000,336.618988,13
2.810000,89.664001,158
2.817000,159.123001,17
2.824000,415.062012,128
